Componente,Prob_Comp,Condicion,Prob_Cond,SIR 1 MIS
Accesorios,0.00%,Abierto/Alambrado Abierto,0.00%,0
Accesorios,0.00%,Deformado/Torcido,0.00%,0
Accesorios,0.00%,Desalineado/Desensamblado,0.00%,0
Accesorios,0.00%,Desgastado/Barrido/Cristalizado,0.00%,0
Accesorios,0.00%,En Corto/Aterrizado,0.00%,0
Accesorios,0.00%,Fugas/Se Verificaron Fugas,0.00%,0
Accesorios,0.00%,Partes Faltantes/Incorrectas/Añadidas,0.00%,0
Accesorios,0.00%,Pegado/Congelado/Atrancado,0.00%,0
Accesorios,0.00%,Quebrado/Trozado/Arrancado,0.00%,0
Accesorios,0.00%,Suelto/Desprendido/Flojo,0.00%,0
Actuador de Cambio/Cambiador/Optico de Movimiento,0.10%,Abierto/Alambrado Abierto,0.00%,0
Actuador de Cambio/Cambiador/Optico de Movimiento,0.10%,Aceitado/Lubricado,0.00%,0
Actuador de Cambio/Cambiador/Optico de Movimiento,0.10%,Cable Suelto/Roto/Cruzado,0.00%,0
Actuador de Cambio/Cambiador/Optico de Movimiento,0.10%,Desalineado/Desensamblado,0.00%,0
Actuador de Cambio/Cambiador/Optico de Movimiento,0.10%,Desgastado/Barrido/Cristalizado,0.00%,0
Actuador de Cambio/Cambiador/Optico de Movimiento,0.10%,En Corto/Aterrizado,0.10%,2
Actuador de Cambio/Cambiador/Optico de Movimiento,0.10%,Objeto Extraño Removido,0.00%,0
Actuador de Cambio/Cambiador/Optico de Movimiento,0.10%,Pegado/Congelado/Atrancado,0.00%,0
Actuador de Cambio/Cambiador/Optico de Movimiento,0.10%,Quebrado/Trozado/Arrancado,0.00%,0
Actuador de Cambio/Cambiador/Optico de Movimiento,0.10%,Quemado,0.00%,0
Actuador de Cambio/Cambiador/Optico de Movimiento,0.10%,Ruido/Nivel de Sonido Excesivo,0.00%,0
Actuador de Cambio/Cambiador/Optico de Movimiento,0.10%,Suelto/Desprendido/Flojo,0.00%,0
Actuador de Cambio/Cambiador/Optico de Movimiento,0.10%,Tapado/Bloqueado/Restringido/Sucio,0.00%,0
Agitador/Propela,0.10%,Áspero/Cortante,0.00%,0
Agitador/Propela,0.10%,Deformado/Torcido,0.00%,0
Agitador/Propela,0.10%,Desalineado/Desensamblado,0.00%,0
Agitador/Propela,0.10%,Desgastado/Barrido/Cristalizado,0.00%,0
Agitador/Propela,0.10%,Objeto Extraño Removido,0.00%,0
Agitador/Propela,0.10%,Pegado/Congelado/Atrancado,0.00%,0
Agitador/Propela,0.10%,Quebrado/Trozado/Arrancado,0.05%,1
Agitador/Propela,0.10%,Suelto/Desprendido/Flojo,0.05%,1
Agitador/Propela,0.10%,Tornillos/Pijas Flojos/Sueltos/Faltantes/Barridos,0.00%,0
Amortiguador,0.03%,Deformado/Torcido,0.00%,0
Amortiguador,0.03%,Desalineado/Desensamblado,0.03%,1
Amortiguador,0.03%,Quebrado/Trozado/Arrancado,0.00%,0
Amortiguador,0.03%,Suelto/Desprendido/Flojo,0.00%,0
Anillo de Balance,0.00%,Deformado/Torcido,0.00%,0
Anillo de Balance,0.00%,Desalineado/Desensamblado,0.00%,0
Anillo de Balance,0.00%,Quebrado/Trozado/Arrancado,0.00%,0
Anillo Tina/Protector de Anillo Tina,0.00%,Aceitado/Lubricado,0.00%,0
Anillo Tina/Protector de Anillo Tina,0.00%,Deformado/Torcido,0.00%,0
Anillo Tina/Protector de Anillo Tina,0.00%,Desalineado/Desensamblado,0.00%,0
Anillo Tina/Protector de Anillo Tina,0.00%,Desgastado/Barrido/Cristalizado,0.00%,0
Anillo Tina/Protector de Anillo Tina,0.00%,Quebrado/Trozado/Arrancado,0.00%,0
Arnés,1.27%,Abierto/Alambrado Abierto,0.00%,0
Arnés,1.27%,Cable Suelto/Roto/Cruzado,1.09%,6
Arnés,1.27%,Desalineado/Desensamblado,0.00%,0
Arnés,1.27%,En Corto/Aterrizado,0.18%,1
Arnés,1.27%,Quebrado/Trozado/Arrancado,0.00%,0
Arnés,1.27%,Quemado,0.00%,0
Arnés,1.27%,Suelto/Desprendido/Flojo,0.00%,0
Bandas,0.10%,Deformado/Torcido,0.00%,0
Bandas,0.10%,Desalineado/Desensamblado,0.10%,2
Bandas,0.10%,Desgastado/Barrido/Cristalizado,0.00%,0
Bandas,0.10%,Objeto Extraño Removido,0.00%,0
Bandas,0.10%,Pegado/Congelado/Atrancado,0.00%,0
Bandas,0.10%,Quebrado/Trozado/Arrancado,0.00%,0
Bandas,0.10%,Ruido/Nivel de Sonido Excesivo,0.00%,0
Bandas,0.10%,Suelto/Desprendido/Flojo,0.00%,0
Bisagra,0.00%,Aceitado/Lubricado,0.00%,0
Bisagra,0.00%,Deformado/Torcido,0.00%,0
Bisagra,0.00%,Desalineado/Desensamblado,0.00%,0
Bisagra,0.00%,Desgastado/Barrido/Cristalizado,0.00%,0
Bisagra,0.00%,Oxidado/Corroído,0.00%,0
Bisagra,0.00%,Partes Faltantes/Incorrectas/Añadidas,0.00%,0
Bisagra,0.00%,Quebrado/Trozado/Arrancado,0.00%,0
Bisagra,0.00%,Ruido/Nivel de Sonido Excesivo,0.00%,0
Bisagra,0.00%,Tornillos/Pijas Flojos/Sueltos/Faltantes/Barridos,0.00%,0
Bomba de Desagüe,0.65%,Abierto/Alambrado Abierto,0.26%,2
Bomba de Desagüe,0.65%,Cable Suelto/Roto/Cruzado,0.00%,0
Bomba de Desagüe,0.65%,Desalineado/Desensamblado,0.00%,0
Bomba de Desagüe,0.65%,Desgastado/Barrido/Cristalizado,0.00%,0
Bomba de Desagüe,0.65%,Empaque/Sello Defectuoso/Faltante,0.00%,0
Bomba de Desagüe,0.65%,En Corto/Aterrizado,0.00%,0
Bomba de Desagüe,0.65%,Fugas/Se Verificaron Fugas,0.00%,0
Bomba de Desagüe,0.65%,Objeto Extraño Removido,0.00%,0
Bomba de Desagüe,0.65%,Quebrado/Trozado/Arrancado,0.00%,0
Bomba de Desagüe,0.65%,Quemado,0.13%,1
Bomba de Desagüe,0.65%,Ruido/Nivel de Sonido Excesivo,0.26%,2
Bomba de Desagüe,0.65%,Tapado/Bloqueado/Restringido/Sucio,0.00%,0
Cable Tomacorriente,0.00%,Abierto/Alambrado Abierto,0.00%,0
Cable Tomacorriente,0.00%,Cable Suelto/Roto/Cruzado,0.00%,0
Cable Tomacorriente,0.00%,Desalineado/Desensamblado,0.00%,0
Cable Tomacorriente,0.00%,En Corto/Aterrizado,0.00%,0
Cable Tomacorriente,0.00%,Invertido,0.00%,0
Cable Tomacorriente,0.00%,Partes Faltantes/Incorrectas/Añadidas,0.00%,0
Cable Tomacorriente,0.00%,Quebrado/Trozado/Arrancado,0.00%,0
Cable Tomacorriente,0.00%,Quemado,0.00%,0
Cable Tomacorriente,0.00%,Sobrecargado,0.00%,0
Cable Tomacorriente,0.00%,Suelto/Desprendido/Flojo,0.00%,0
Canasta/Tambor/Bulkhead,0.00%,Áspero/Cortante,0.00%,0
